record,title,url,doi,summary,authors,abstract,type
121,To what extent do mesophotic coral ecosystems and shallow reefs share species of conservation interest?,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0068-5,10.1186/s13750-016-0068-5,"Mesophotic coral ecosystems (MCEs) are tropical and sub-tropical reefs between 30 m and potentially >150 m depth, the maximum for photosynthetic hard corals. The definition’s upper boundary is ecologically arb...","Jack H. Laverick, Dominic A. Andradi-Brown, Dan A. Exton, Pim Bongaerts, Tom C. L. Bridge, Michael P. Lesser, Richard L. Pyle, Marc Slattery, Daniel Wagner and Alex D. Rogers","Background Mesophotic coral ecosystems (MCEs) are tropical and sub-tropical reefs between 30 m and potentially >150 m depth, the maximum for photosynthetic hard corals. The definition’s upper boundary is ecologically arbitrary. Recently, research has focused on the deep reef refugia hypothesis suggesting MCEs can be protected from shallow-water threats, potentially acting as a local source for re-colonisation of shallow reefs. This led to recent calls to increase their protection. It remains unclear whether the current MCE definition reflects changing biodiversity with depth, and so whether protecting MCEs based on this definition will protect shallow reef species. We ask where shifts in ecological community structure occur across the shallow-mesophotic depth gradient. We consider to what extent MCEs as currently defined protect shallow reef taxa. Research on coral reef depth gradients has a long history. Research relevant to MCEs has been published under a variety of terms. We will use the systematic review framework to collect older data sources, increasing accessibility by depositing the meta-data in an online library for researchers and managers. Methods A systematic review will be conducted, searching online databases, grey literature and personal libraries of experts. The primary question was formulated after consulting an advisory committee. Inclusion criteria discriminate among studies by sampling depths and community data. Critical appraisal of studies will consider key criteria concerning internal validity. We shall identify where more biodiversity and community-level data are required, determined by whether a meta-analysis is possible. Considering how to structure a meta-analysis once community metric and variability data have been collected will help to advise future data collection. Provided enough data are extracted, we shall conduct a meta-analysis examining changes in species richness, abundance and biomass across the depth gradient. If ecological community level data are present, we shall conduct an additional meta-analysis looking at community turnover with depth.",SRP
122,The Canadian context for evidence-based conservation and environmental management,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0065-8,10.1186/s13750-016-0065-8,"Canada has strong institutional capacity for science-based decision-making related to natural resource conservation and environmental management. Yet, the concept of using systematic reviews (conducted in acco...","Steven J. Cooke, Jake C. Rice, Kent A. Prior, Robin Bloom, Olaf Jensen, David R. Browne, Lisa A. Donaldson, Joseph R. Bennett, Jesse C. Vermaire and Graeme Auld","Canada has strong institutional capacity for science-based decision-making related to natural resource conservation and environmental management. Yet, the concept of using systematic reviews (conducted in accordance with established guidelines) to support evidence-based conservation and environmental management in Canada is in its infancy. Here we discuss the Canadian context for implementing more rigorous evidence-based approaches using systematic reviews. Of particular relevance to Canada is its vast size, broad diversity of ecosystems and heavy economic reliance on natural resources that vary widely in the type and scale of their environmental effects. These factors result in a wide variety of environmental monitoring needs over an extensive area that pose challenges to the scientific community charged with overseeing wise use of the environment. In addition, there are diverse and engaged user groups (e.g., hunters, trappers, fishers, bird watchers, foresters) and indigenous peoples that have constitutional rights to their natural resources. Traditional environmental knowledge is a complementary source of evidence in the Canadian environmental impact assessment process and therefore must be a part of evidence synthesis. Systematic reviews are not intended to replace local field studies, but rather have the opportunity to draw upon a broader suite of evidence that can be interfaced with local perspectives. The existing institutional structures in Canada could easily incorporate systematic reviews into their science advice and decision-making frameworks but to date, there are few examples of where this has occurred. Drawing on the expertise of a growing global collaboration for environmental evidence synthesis, Canadian institutions (federal, provincial and NGO) are poised to more broadly incorporate systematic reviews once their benefits are fully realized and the capacity to undertake such systematic reviews is fully developed. Systematic reviews offer a consolidated view of the available scientific literature on a given question. The results may offer significant value when working with stakeholders and decision makers contributing other sources of information to the question. For example, mechanisms to capture and integrate scientific knowledge with stakeholder and traditional knowledge may benefit from the scientific sources being filtered, interpreted and summarized for discussion. In other cases, where timeframes for decision making preclude formal systematic reviews, opportunities for more rapid evidence synthesis methods will be needed before the concept will be fully embraced.",Commentary
123,What evidence exists for the effectiveness of on-farm conservation land management strategies for preserving ecosystem services in developing countries? A systematic map,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0064-9,10.1186/s13750-016-0064-9,"An extensive body of evidence in the field of agro-ecology claims to show the positive effects that maintenance of ecosystem services can have on meeting future food demand by making farms more sustainable, pr...","Jessica P. R. Thorn, Rachel Friedman, David Benz, Kathy J. Willis and Gillian Petrokofsky","Background An extensive body of evidence in the field of agro-ecology claims to show the positive effects that maintenance of ecosystem services can have on meeting future food demand by making farms more sustainable, productive and resilient, which then contributes to improved nutrition and livelihoods of farmers. However, inconsistent effects have commonly been reported, while empirical evidence to support assumed improvements is largely lacking. Overall, a coherent synthesis and review of the evidence of these claims is largely absent from the literature. Methods Systematic searches of peer-reviewed research were conducted in bibliographic databases of Web of Science, SCOPUS, AGRICOLA, AGRIS databases and CAB abstracts, and grey literature from Google Scholar, and 32 subject-specific websites. Searches identified 21,147 articles. After screening, 746 studies were included in the final map. Results Of the 19 conservation land management practices considered, soil fertilisation (24 %), tillage (23 %), agroforestry (9 %), and water conservation (7 %) were most commonly studied. Ecosystem services most commonly studied were supporting (55 %) and regulating (33 %), particularly carbon sequestration/storage, nutrient cycling and soil/water regulation/supply. Key data gaps identified included the absence of long-term records (with datasets spanning >20 years), studies located in North and Central Africa, research that focuses on smallholder landscapes, and studies that span different scales (regional and landscape levels). Conclusions The study employs systematic mapping combined with an online interactive platform that geographically maps results, which allows users to interrogate different aspects of the evidence through a defined database field structure. While studies are not directly comparable, the database of 746 studies brings together a previously fragmented and multidisciplinary literature base, and collectively provides evidence concerning a wide range of conservation land management practices impacting key ecosystem services. The systematic map is easily updatable, and may be extended for additional coding, analysed to assess the quality of studies, or used to inform future systematic reviews.",SM
124,The effectiveness of non-native fish eradication techniques in freshwater ecosystems: a systematic review protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0063-x,10.1186/s13750-016-0063-x,This systematic review will address the need for having a better understanding of the evidence-base for the effectiveness of different management techniques focussed on the eradication of non-native fish speci...,Lisa A. Donaldson and Steven J. Cooke,"Background This systematic review will address the need for having a better understanding of the evidence-base for the effectiveness of different management techniques focussed on the eradication of non-native fish species in the freshwater environment. Many resource management agencies around the world attempt to eradicate non-native fish species to achieve management goals with respect to ecological integrity. There is a need to better understand the effectiveness of each management technique to provide resource managers with the information necessary to effectively manage aquatic resources, and to choose the best technique to yield desired outcomes given different ecological and biological conditions. The findings of this systematic review will inform evidence-based management and conservation activities for resource managers around the globe that deal with non-native fish eradication programs. Methods This systematic review will search for, compile, summarize, and synthesize evidence on the effectiveness of fisheries management techniques used for the eradication of non-native fish species in global freshwater systems. The review will use public search engines and specialist websites, and will include both primary and grey literature. All studies that assess the effectiveness of a fish eradication technique, in freshwater, will be included in the review. Potential effect modifiers will be identified to obtain a better understanding of the factors that affect the success of different eradication techniques, given different environmental conditions and biological factors. Study quality will be assessed to allow for critical evaluation, including study design, confounding factors and statistical analysis. Data will be compiled into a narrative synthesis and a meta-analysis will be conducted where data availability and quality allow.",SRP
125,Effectiveness of management interventions for control of invasive Common ragweed Ambrosia artemisiifolia: a systematic review protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0062-y,10.1186/s13750-016-0062-y,"Alien species are severely impacting the environment, public health and socioeconomy at a global scale. Their management is thus of crucial importance and the subject of intensive research efforts. Common ragw...","Stefan Schindler, Helen R. Bayliss, Franz Essl, Wolfgang Rabitsch, Swen Follak and Andrew S. Pullin","Background Alien species are severely impacting the environment, public health and socioeconomy at a global scale. Their management is thus of crucial importance and the subject of intensive research efforts. Common ragweed Ambrosia artemisiifolia L. is an alien species with negative impacts on agriculture, human health and biodiversity. It is a highly allergenic, wind-pollinated herb native to North America that was first introduced to Europe during the seventeenth century. It has since become widespread and is currently in an ongoing phase of rapid spread and increasing abundance. Several management approaches are currently implemented and effective control of the species can have strong socioeconomic benefits. However, evidence for management effectiveness is scattered and has not yet been synthesised systematically. For these reasons, we here aim to systematically review the evidence to assess (a) what is the effectiveness of management options used for control of Common ragweed Ambrosia artemisiifolia and (b) what is the effect of confounding factors such as habitat, climate and frequency and timing of treatment? Methods This protocol specifies the methods for conducting a systematic review to answer the specified questions. Search terms relating to the population and the intervention (type of management) will be combined and searched in a range of databases and other sources. Specific inclusion criteria are (i) any population of Ambrosia artemisiifolia at any habitat including populations in agricultural settings and such used for experimental research at any geographic location (including its native range), (ii) any physical, chemical, biological or combined management action; (iii) direct outcome measures including change in coverage, abundance, biomass, survival, reoccurrence, biology (e.g. growth, height, leaf area) or pollen production. The wide range of quality of primary literature will be evaluated with a tailored system for assessing susceptibility to bias and the reliability of the studies. If extracted data are suitable for quantitative synthesis, we aim to calculate effect sizes and conduct meta-analyses.",SRP
126,What is the impact on fish recruitment of anthropogenic physical and structural habitat change in shallow nearshore areas in temperate systems? A systematic review protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0061-z,10.1186/s13750-016-0061-z,Shallow nearshore marine ecosystems are changing at an increasing rate due to a range of human activities such as urbanisation and commercial development. The growing numbers of constructions and other physica...,"Biljana Macura, Oona M. Lönnstedt, Pär Byström, Laura Airoldi, Britas Klemens Eriksson, Lars Rudstam and Josianne Støttrup","Background Shallow nearshore marine ecosystems are changing at an increasing rate due to a range of human activities such as urbanisation and commercial development. The growing numbers of constructions and other physical and structural alterations of the shoreline often take place in nursery and spawning habitats of many fish and other aquatic species. Several coastal fish populations have seen marked declines in abundance and diversity during the past two decades. A systematic review on the topic would clarify if anthropogenic physical and structural changes of near-shore areas have effects on fish recruitment and which these effects are. Methods The review will examine how various physical and structural anthropogenic changes of nearshore fish habitats affect fish recruitment. Relevant studies include small- and large-scale field studies in marine and brackish systems or large lakes in temperate regions of the Northern and Southern hemispheres. Relevant studies may be based on comparisons between undisturbed and disturbed areas, before and after disturbance, or both. Relevant outcomes include measures of recruitment defined as abundance of juveniles of nearshore fish communities. Searches will be made for peer-reviewed and grey literature in English, Dutch, Danish, Finnish, German, Swedish and Spanish. All fish species and species groups will be considered in this review. Included relevant studies will be subject to a critical appraisal that will assess study validity. From relevant included studies, we will extract information on study characteristics, measured outcomes, exposure, comparators, effect modifiers and critical appraisal. Data synthesis will contain narrative and summary findings of each included study of sufficient quality. Meta-analysis may be possible in cases where studies report similar types of outcomes.",SRP
127,How effective are created or restored freshwater wetlands for nitrogen and phosphorus removal? A systematic review,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0060-0,10.1186/s13750-016-0060-0,"Eutrophication of aquatic environments is a major environmental problem in large parts of the world. In Europe, EU legislation (the Water Framework Directive and the Marine Strategy Framework Directive), inter...","Magnus Land, Wilhelm Granéli, Anders Grimvall, Carl Christian Hoffmann, William J. Mitsch, Karin S. Tonderski and Jos T. A. Verhoeven","Background Eutrophication of aquatic environments is a major environmental problem in large parts of the world. In Europe, EU legislation (the Water Framework Directive and the Marine Strategy Framework Directive), international conventions (OSPAR, HELCOM) and national environmental objectives emphasize the need to reduce the input of nutrients to freshwater and marine environments. A widely used method to achieve this is to allow water to pass through a created or restored wetland. However, the large variation in measured nutrient removal rates in such wetlands calls for a systematic review. Methods Searches for primary studies were performed in electronic databases and on the internet. One author performed the screening of all retrieved articles at the title and abstract level. To check that the screening was consistent and complied with the agreed inclusion/exclusion criteria, subsets of 100 articles were screened by the other authors. When screening at full-text level the articles were evenly distributed among the authors. Kappa tests were used to evaluate screening consistency. Relevant articles remaining after screening were critically appraised and assigned to three quality categories, from two of which data were extracted. Quantitative synthesis consists of meta-analyses and response surface analyses. Regressions were performed using generalized additive models that can handle nonlinear relationships and interaction effects. Results Searches generated 5853 unique records. After screening on relevance and critical appraisal, 93 articles including 203 wetlands were used for data extraction. Most of the wetlands were situated in Europe and North America. The removal rate of both total nitrogen (TN) and total phosphorus (TP) is highly dependent on the loading rate. Significant relationships were also found for annual average air temperature (T) and wetland area (A). Median removal rates of TN and TP were 93 and 1.2 g m−2 year−1, respectively. Removal efficiency for TN was significantly correlated with hydrologic loading rate (HLR) and T, and the median was 37 %, with a 95 % confidence interval of 29–44 %. Removal efficiency for TP was significantly correlated with inlet TP concentration, HLR, T, and A. Median TP removal efficiency was 46 % with a 95 % confidence interval of 37–55 %. Although there are small differences in average values between the two quality categories, the variation is considerably smaller among high quality studies compared to studies with lower quality. This suggests that part of the large variation between studies may be explained by less rigorous study designs. Conclusions On average, created and restored wetlands significantly reduce the transport of TN and TP in treated wastewater and urban and agricultural runoff, and may thus be effective in efforts to counteract eutrophication. However, restored wetlands on former farmland were significantly less efficient than other wetlands at TP removal. In addition, wetlands with precipitation-driven HLRs and/or hydrologic pulsing show significantly lower TP removal efficiencies compared to wetlands with controlled HLRs. Loading rate (inlet concentrations × hydraulic loading rates) needs to be carefully estimated as part of the wetland design. More research is needed on the effects of hydrologic pulsing on wetlands. There is also a lack of evidence for long-term (>20 years) performance of wetlands.",SR
128,What are the effects of nature conservation on human well-being? A systematic map of empirical evidence from developing countries,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0058-7,10.1186/s13750-016-0058-7,Global policy initiatives and international conservation organizations have sought to emphasize and strengthen the link between the conservation of natural ecosystems and human development. While many indices ...,"Madeleine C. McKinnon, Samantha H. Cheng, Samuel Dupre, Janet Edmond, Ruth Garside, Louise Glew, Margaret B. Holland, Eliot Levine, Yuta J. Masuda, Daniel C. Miller, Isabella Oliveira, Justine Revenaz, Dilys Roe, Sierra Shamer, David Wilkie, Supin Wongbusarakum…","Background Global policy initiatives and international conservation organizations have sought to emphasize and strengthen the link between the conservation of natural ecosystems and human development. While many indices have been developed to measure various social outcomes to conservation interventions, the quantity and strength of evidence to support the effects, both positive and negative, of conservation on different dimensions of human well-being, remain unclear, dispersed and inconsistent. Methods We searched 11 academic citation databases, two search engines and 30 organisational websites for relevant articles using search terms tested with a library of 20 relevant articles. Key informants were contacted with requests for articles and possible sources of evidence. Articles were screened for relevance against predefined inclusion criteria at title, abstract and full text levels according to a published protocol. Included articles were coded using a questionnaire. A critical appraisal of eight systematic reviews was conducted to assess the reliability of methods and confidence in study findings. A visual matrix of the occurrence and extent of existing evidence was also produced. Results A total of 1043 articles were included in the systematic map database. Included articles measured effects across eight nature conservation-related intervention and ten human well-being related outcome categories. Linkages between interventions and outcomes with high occurrence of evidence include resource management interventions, such as fisheries and forestry, and economic and material outcomes. Over 25 % of included articles examined linkages between protected areas and aspects of economic well-being. Fewer than 2 % of articles evaluated human health outcomes. Robust study designs were limited with less than 9 % of articles using quantitative approaches to evaluate causal effects of interventions. Over 700 articles occurred in forest biomes with less than 50 articles in deserts or mangroves, combined. Conclusions The evidence base is growing on conservation-human well-being linkages, but biases in the extent and robustness of articles on key linkages persist. Priorities for systematic review, include linkages between marine resource management and economic/material well-being outcomes; and protected areas and governance outcomes. Greater and more robust evidence is needed for many established interventions to better understand synergies and trade-offs between interventions, in particular those that are emerging or contested. Registration CEE review 14-012",SM
129,A methodology for systematic mapping in environmental sciences,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0059-6,10.1186/s13750-016-0059-6,"Systematic mapping was developed in social sciences in response to a lack of empirical data when answering questions using systematic review methods, and a need for a method to describe the literature across a...","Katy L. James, Nicola P. Randall and Neal R. Haddaway","Systematic mapping was developed in social sciences in response to a lack of empirical data when answering questions using systematic review methods, and a need for a method to describe the literature across a broad subject of interest. Systematic mapping does not attempt to answer a specific question as do systematic reviews, but instead collates, describes and catalogues available evidence (e.g. primary, secondary, theoretical, economic) relating to a topic or question of interest. The included studies can be used to identify evidence for policy-relevant questions, knowledge gaps (to help direct future primary research) and knowledge clusters (sub-sets of evidence that may be suitable for secondary research, for example systematic review). Evidence synthesis in environmental sciences faces similar challenges to those found in social sciences. Here we describe the translation of systematic mapping methodology from social sciences for use in environmental sciences. We provide the first process-based methodology for systematic maps, describing the stages involved: establishing the review team and engaging stakeholders; setting the scope and question; setting inclusion criteria for studies; scoping stage; protocol development and publication; searching for evidence; screening evidence; coding; production of a systematic map database; critical appraisal (optional); describing and visualising the findings; report production and supporting information. We discuss the similarities and differences in methodology between systematic review and systematic mapping and provide guidance for those choosing which type of synthesis is most suitable for their requirements. Furthermore, we discuss the merits and uses of systematic mapping and make recommendations for improving this evolving methodology in environmental sciences.",Methods
130,Does the gender composition of forest and fishery management groups affect resource governance and conservation outcomes? A systematic map,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0057-8,10.1186/s13750-016-0057-8,Women often use natural resources differently than men yet frequently have minimal influence on how local resources are managed. An emerging hypothesis is that empowering more women in local resource decision-...,"Craig Leisher, Gheda Temsah, Francesca Booker, Michael Day, Leah Samberg, Debra Prosnitz, Bina Agarwal, Elizabeth Matthews, Dilys Roe, Diane Russell, Terry Sunderland and David Wilkie","Background Women often use natural resources differently than men yet frequently have minimal influence on how local resources are managed. An emerging hypothesis is that empowering more women in local resource decision-making may lead to better resource governance and conservation. Here we focus on the forestry and fisheries sectors to answer the question: What is the evidence that the gender composition of forest and fisheries management groups affects resource governance and conservation outcomes? We present a systematic map detailing the geographic and thematic extent of the evidence base and assessing the quality of the evidence, as per a published a priori protocol. Methods We screened 11,000+ English-language records in Scopus, CAB abstracts, AGRIS, AGRICOLA, Google Scholar, and Google. The websites of 24 international conservation and development organisations, references of included articles, and relevant systematic reviews were also searched for possible documents. A number of groups and individuals were invited to submit documents through email ‘call outs’. The inclusion criteria were that an article refers to women or gender, forests or fisheries, and a resource management group comparison in a non-OECD country plus Mexico and Chile. Results Seventeen studies met the inclusion criteria. Four were qualitative and 13 were quantitative. Forest studies outnumbered fisheries studies 14–3. The majority of the studies came from India and Nepal and focused on forest management. All 17 studies identified improvements in local natural resource governance, and three identified conservation improvements when women participated in the management of the resources. Only two studies, however, were rated as high quality based on study design. Conclusions For India and Nepal, there is strong and clear evidence of the importance of including women in forest management groups for better resource governance and conservation outcomes. Outside of India and Nepal, there are substantial gaps in the evidence base, but the South Asian evidence presents a compelling case for extending the research to other geographies to see if similar outcomes exist elsewhere and supports a theory of change linking the participation of women in forestry and fisheries management groups with better resource governance and conservation outcomes.",SM
131,Can linear transportation infrastructure verges constitute a habitat and/or a corridor for biodiversity in temperate landscapes? A systematic review protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0056-9,10.1186/s13750-016-0056-9,"The role of linear transportation infrastructures (roads, railways, oil and gas pipelines, power lines, rivers and canals) in fragmenting natural habitats has been demonstrated. Yet, the potential of habitat o...","Arzhvaël Jeusset, Marianne Vargac, Yves Bertheau, Aurélie Coulon, Nadine Deniaud, Frédérique Flamerie De Lachapelle, Emmanuel Jaslier, Barbara Livoreil, Véronique Roy, Julien Touroult, Sylvie Vanpeene, Isabelle Witté and Romain Sordello","Background The role of linear transportation infrastructures (roads, railways, oil and gas pipelines, power lines, rivers and canals) in fragmenting natural habitats has been demonstrated. Yet, the potential of habitat or corridor of their verges (road and railway embankments, strips of grass under power lines or above buried pipelines, or waterway banks) for biodiversity remains controversial. In a context of decreasing natural habitats, the potential of anthropogenic areas for contributing to wildlife conservation should be considered. Moreover, how linear transportation infrastructure verges should be managed in order to favor biodiversity is a crucial question. The present work describes the protocol of the first systematic synthesis of evidence of the potential of linear transportation infrastructure verges as habitat and/or corridor for biodiversity. Outcomes of the study will be useful for helping managers to improve their practices or for prioritizing actions of ecological restoration. Methods The subject population will include both flora and fauna of the temperate climate, either species or communities. Exposures to linear transportation infrastructure verges, interventions of verge management (mowing, pruning, etc.) and environmental disturbances (pollution, wildfires, etc.) will be included. Both temporal and spatial comparators will be considered. Relevant outcomes will include dispersal, species richness and abundance. The scientific literature on the topic of the review may turn out to be very heterogeneous. Various management types, biodiversity outcomes and study designs might be conceived. If any combination of these is covered by a sufficient number of studies, we will perform a meta-analysis. At the least, we will produce a systematic map and a narrative synthesis.",SRP
132,How are biodiversity and dispersal of species affected by the management of roadsides? A systematic map protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0055-x,10.1186/s13750-016-0055-x,"In many parts of the world, roadsides are regularly managed for traffic-safety reasons. Hence, there are similarities between roadsides and certain other managed habitats, such as wooded pastures and mown or g...","Claes Bernes, James M. Bullock, Simon Jakobsson, Maj Rundlöf, Kris Verheyen and Regina Lindborg","Background In many parts of the world, roadsides are regularly managed for traffic-safety reasons. Hence, there are similarities between roadsides and certain other managed habitats, such as wooded pastures and mown or grazed grasslands. In contrast to roadsides, the latter habitats have declined rapidly in Europe during the last century, and today only a fraction of their former extent remains. For many species historically associated with these habitats, roadsides may therefore function as new primary habitats or as dispersal corridors in fragmented landscapes. Current recommendations for roadside management to promote conservation values are largely based on studies of plants in semi-natural grasslands, although such areas often differ from roadsides in terms of environmental factors and impacts. Moreover, roadsides provide habitats not only for plants but also for many insects, especially if they are sandy and exposed to the sun. For these reasons, stakeholders in Sweden have emphasised the need for more targeted management recommendations, based on actual studies of roadside biodiversity. Methods The proposed systematic map is intended to provide an overview of the available evidence on how biodiversity is affected by various forms of roadside management, and how such management influences the dispersal of species along roads or roadsides. Relevant interventions include e.g. mowing, shrub removal, control of invasive/nuisance species, sowing or planting, burning, grazing by livestock, scraping and ditching. Non-intervention or alternative forms of roadside management will be used as comparators. Relevant outcomes include measures of species or genetic diversity, the abundance of individual species or groups of organisms, species distribution patterns, and movement rates of individuals or propagules. Searches will be made for peer-reviewed and grey literature in English and several other languages. No geographical restrictions will be applied, and all species and species groups will be considered.",SMP
133,"How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? A protocol to update a systematic review",https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0054-y,10.1186/s13750-016-0054-y,"The impact of climate change on public health may occur through a number of main pathways including increased temperature, ground-level ozone levels and ultra-violet radiation, which have a range of consequenc...","Teri Knight, Sian Price, Diana Bowler and Sian King","Background The impact of climate change on public health may occur through a number of main pathways including increased temperature, ground-level ozone levels and ultra-violet radiation, which have a range of consequences for human health. One strategy for adaptation to the predicted effects of climate change on health that has been proposed, is to ‘green’ urban areas, essentially by increasing the abundance and cover of vegetation. This protocol is for an update of a systematic review which aimed to address the question: How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? Methods A sensitive search of multiple databases and relevant journals for relevant published articles will be conducted. A search for relevant unpublished articles will be undertaken through an internet search and of websites of relevant organisations. Inclusion criteria will be applied at title, abstract and full-text. Repeatability checks of this screening process will be undertaken. Articles included at full-text will be critically appraised using a standardised checklist. A repeatability check will be made of this process. Pre-defined data items will be extracted from included articles. If appropriate, quantitative synthesis will be undertaken through meta-analysis and/or a narrative synthesis will be undertaken.",SRP[update]
134,Which agricultural management interventions are most influential on soil organic carbon (using time series data)?,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0053-z,10.1186/s13750-016-0053-z,"Loss of soil organic carbon (SOC) from agricultural land is identified as one of the major threats to soils, as it influences both fertility and the production of ecosystem services from agriculture. Losses of...","Neal Robert Haddaway, Katarina Hedlund, Louise E. Jackson, Thomas Kätterer, Emanuele Lugato, Ingrid K. Thomsen, Helene Bracht Jørgensen and Per-Erik Isberg","Background Loss of soil organic carbon (SOC) from agricultural land is identified as one of the major threats to soils, as it influences both fertility and the production of ecosystem services from agriculture. Losses of SOC across regions are often determined by monitoring in different land use systems. Results from agricultural field experiments can reveal increasing SOC stocks after implementation of specific management practices compared to a control, though in time series experiments the relative rate of change is often negative and implying an overall loss. Long-term agricultural field experiments are indispensable for quantifying absolute changes in SOC stocks under different management regimes. Since SOC responses are seldom linear over time, time series data from these experiments are particularly valuable. Methods This systematic review is based on studies reporting time series data collated in a recently completed systematic map on the topic restricted to the warm temperate climate zone and the snow climate zone. These 53 studies were identified and selected systematically according to CEE guidelines. An update of the original search for studies will be repeated using Web of Science and Google Scholar to include newly published academic and grey literature in the time since the original search was performed in September 2013. Studies will be subject to critical appraisal of the internal and external validity, followed by full data extraction (meta-data describing study settings and quantitative study results). Where possible, studies will be included in a quantitative synthesis using time series meta-analytical approaches. The implications of the meta-analytical findings will be discussed in terms of policy, practice and research along with a discussion of the nature of the evidence base.",SRP
135,How does tillage intensity affect soil organic carbon? A systematic review protocol,https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-016-0052-0,10.1186/s13750-016-0052-0,"Soils contain the greatest terrestrial carbon (C) pool on the planet. Since approximately 12 % of soil C is held in cultivated soils, management of these agricultural areas has a huge potential to affect globa...","Neal Robert Haddaway, Katarina Hedlund, Louise E. Jackson, Thomas Kätterer, Emanuele Lugato, Ingrid K. Thomsen, Helene B. Jørgensen and Per-Erik Isberg","Background Soils contain the greatest terrestrial carbon (C) pool on the planet. Since approximately 12 % of soil C is held in cultivated soils, management of these agricultural areas has a huge potential to affect global carbon cycling; acting sometimes as a sink but also as a source. Tillage is one of the most important agricultural practices for soil management and has been traditionally undertaken to mechanically prepare soils for seeding and minimize effects of weeds. It has been associated with many negative impacts on soil quality, most notably a reduction in soil organic carbon (SOC), although still a matter of considerable debate, depending on factors such as depth of measurement, soil type, and tillage method. No tillage or reduced intensity tillage are frequently proposed mitigation measures for preservation of SOC and improvement of soil quality, for example for reducing erosion. Whilst several reviews have demonstrated benefits to C conservation of no till agriculture over intensive tillage, the general picture for reduced tillage intensity is unclear. This systematic review proposes to synthesise an extensive body of evidence, previously identified through a systematic map. Methods This systematic review is based on studies concerning tillage collated in a recently completed systematic map on the impact of agricultural management on SOC restricted to the warm temperate climate zone (i.e. boreo-temperate). These 311 studies were identified and selected systematically according to CEE guidelines. An update of the original search will be undertaken to identify newly published academic and grey literature in the time since the original search was performed in September 2013. Studies will be critically appraised for their internal and external validity, followed by full data extraction (meta-data describing study settings and quantitative study results). Where possible, studies will be included in meta-analyses examining the effect of tillage reduction (‘moderate’ (i.e. shallow) and no tillage relative to ‘intensive’ tillage methods such as mouldboard ploughing, where soil is turned over throughout the soil profile). The implications of the findings will be discussed in terms of policy, practice and research along with a discussion of the nature of the evidence base.",SRP
